@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute landmarks-1 numeric
@attribute landmarks-2 numeric
@attribute landmarks-3 numeric
@attribute landmarks-4 numeric
@attribute landmarks-5 numeric
@attribute landmarks-6 numeric
@attribute landmarks-7 numeric
@attribute landmarks-8 numeric
@attribute landmarks-9 numeric
@attribute landmarks-10 numeric
@attribute landmarks-11 numeric
@attribute landmarks-12 numeric
@attribute landmarks-13 numeric
@attribute landmarks-14 numeric
@attribute landmarks-15 numeric
@attribute landmarks-16 numeric
@attribute landmarks-17 numeric
@attribute landmarks-18 numeric
@attribute landmarks-19 numeric
@attribute landmarks-20 numeric
@attribute landmarks-21 numeric
@attribute landmarks-22 numeric
@attribute landmarks-23 numeric
@attribute landmarks-24 numeric
@attribute landmarks-25 numeric
@attribute landmarks-26 numeric
@attribute landmarks-27 numeric
@attribute landmarks-28 numeric
@attribute landmarks-29 numeric
@attribute landmarks-30 numeric
@attribute landmarks-31 numeric
@attribute landmarks-32 numeric
@attribute landmarks-33 numeric
@attribute landmarks-34 numeric
@attribute landmarks-35 numeric
@attribute landmarks-36 numeric
@attribute landmarks-37 numeric
@attribute landmarks-38 numeric
@attribute landmarks-39 numeric
@attribute landmarks-40 numeric
@attribute landmarks-41 numeric
@attribute landmarks-42 numeric
@attribute landmarks-43 numeric
@attribute landmarks-44 numeric
@attribute landmarks-45 numeric
@attribute landmarks-46 numeric
@attribute landmarks-47 numeric
@attribute landmarks-48 numeric
@attribute landmarks-49 numeric
@attribute landmarks-50 numeric
@attribute landmarks-51 numeric
@attribute landmarks-52 numeric
@attribute landmarks-53 numeric
@attribute landmarks-54 numeric
@attribute landmarks-55 numeric
@attribute landmarks-56 numeric
@attribute landmarks-57 numeric
@attribute landmarks-58 numeric
@attribute landmarks-59 numeric
@attribute landmarks-60 numeric
@attribute landmarks-61 numeric
@attribute landmarks-62 numeric
@attribute landmarks-63 numeric
@attribute outputs-1 {0,1,2,3}

@data
11,'2023/10/15 21:08:41:965',1,319.328308,411.295715,-0.000656,364.727386,412.732208,-7.869517,406.533325,378.267456,-10.656741,436.087646,348.827087,-14.283964,456.500122,332.045044,-17.36664,382.147736,291.664642,4.890558,399.502197,251.007172,4.753011,409.880737,226.731934,1.771729,417.090637,210.154755,-0.674066,349.196167,279.029388,3.64276,359.286804,230.466064,3.921531,369.224884,199.689819,0.209015,377.739777,181.089325,-2.14151,317.559906,281.246277,0.034562,318.368164,234.925903,-0.558764,326.153076,203.360901,-3.305404,335.270691,182.404434,-4.808555,284.864349,297.872925,-5.176893,277.04364,263.664978,-6.895472,276.558319,238.755905,-9.124914,279.74118,216.560043,-10.404565,1
12,'2023/10/15 21:08:42:171',1,291.032501,399.496643,-0.000688,336.001343,377.8573,-2.434685,369.057739,336.537109,-4.349041,396.897736,301.402222,-7.260877,423.142761,283.199371,-10.492817,322.17157,280.697815,1.517705,337.391174,235.07724,-0.889202,348.497101,201.213211,-3.006021,357.786285,172.99765,-4.262159,290.44809,275.772339,-0.793885,293.984161,225.872406,-2.648968,301.378693,186.62558,-4.83552,309.578674,155.920593,-5.902634,261.877289,284.375275,-4.207631,251.348511,240.319977,-7.503543,252.201324,204.609024,-11.59111,257.347961,174.870789,-14.107179,236.298599,304.646088,-8.084225,225.928528,272.974213,-12.221124,225.186798,249.18132,-16.299025,229.519821,224.206482,-18.751167,1
13,'2023/10/15 21:08:42:173',1,322.560394,413.222778,-0.001095,362.578125,387.540161,-2.211627,386.302063,340.883911,-1.85695,389.928619,308.974426,-2.231397,390.481262,300.063873,-1.358163,340.802856,274.202209,7.844328,344.098785,222.076111,10.381521,344.083252,190.368729,11.826337,343.522095,165.323029,12.084955,305.770569,271.505768,6.336801,306.078674,213.237549,8.311957,308.612061,179.134262,8.406371,313.889038,157.582443,8.187447,276.267273,281.826904,3.237849,272.667511,228.770157,3.545168,275.304657,199.592239,4.179995,282.071167,180.701416,4.677701,247.680054,306.265717,-0.775412,239.17688,266.70343,-1.735767,239.215317,244.317337,-2.657588,244.362152,226.397675,-3.339661,1
14,'2023/10/15 21:08:42:271',1,322.9021,422.400818,-0.000634,372.553314,405.233124,0.752423,403.163147,362.392944,1.969037,419.354492,327.250458,1.750747,432.238922,311.419159,1.812503,362.340271,293.803253,7.561039,373.587708,238.06813,9.639227,376.142944,205.112015,10.894802,377.53421,179.644745,10.829597,325.890411,287.156097,4.533401,330.335449,222.86496,5.439384,331.428619,185.097687,5.539643,333.161377,160.299026,5.348809,293.177399,293.788696,0.536628,291.094269,234.521622,0.127921,290.332733,201.250443,0.050994,292.8573,178.528137,-0.006786,261.70755,314.182007,-3.886408,255.447464,270.265411,-5.034254,255.026413,245.746094,-6.071951,257.186554,224.672531,-6.741871,1
15,'2023/10/15 21:08:42:275',1,334.689575,425.863708,-0.000316,384.850433,414.955048,-1.362913,421.646149,382.228119,-3.79505,449.068512,353.128693,-6.395766,469.260254,332.794128,-8.514043,388.849609,313.024445,-4.742837,405.359589,246.801682,-5.515523,407.691925,212.725189,-4.08388,406.63559,188.139862,-3.621422,354.594208,303.147919,-6.620862,364.680145,226.169586,-10.254774,365.647217,188.590225,-9.925776,363.589966,165.228302,-9.592208,323.193481,306.385254,-8.594089,328.489807,237.664185,-12.029682,327.756866,204.801468,-11.837687,326.53418,184.912445,-11.22167,292.132813,321.739288,-10.570374,291.215302,271.657928,-13.130247,292.035919,248.26358,-13.543123,292.586548,230.028442,-13.293214,1
16,'2023/10/15 21:08:42:397',1,347.539001,447.158813,-0.000821,401.393585,433.787659,-1.593072,440.669556,399.959564,-1.821309,459.385162,367.858307,-3.192691,471.264069,350.230194,-3.793543,415.92923,318.209106,5.055311,433.141998,266.148682,4.865513,440.672516,230.687317,2.845829,447.552124,200.544525,0.231105,381.877869,307.991516,1.759848,396.543243,247.43692,0.666478,405.358002,204.787964,-3.205386,412.412018,173.883667,-6.554496,348.273834,311.008942,-2.776299,355.666809,254.126663,-4.699273,362.613037,215.226959,-7.41275,370.479218,186.638992,-9.428783,312.861084,326.197144,-8.074909,310.247223,282.840454,-10.235161,311.329651,254.450867,-12.108424,315.541504,227.883316,-13.543053,1
17,'2023/10/15 21:08:42:511',1,347.733612,444.985138,-0.000832,398.824158,426.428131,4.897474,432.445099,393.080627,7.201618,454.344086,361.476349,7.957303,470.848389,342.209747,9.086447,407.145874,320.933502,6.063147,427.092102,262.113617,7.238934,435.386566,226.935471,8.182115,441.842346,200.179794,8.29377,373.109894,311.2901,1.828111,390.833191,243.20874,1.101237,399.642914,202.394974,0.710893,406.013519,174.324631,0.412733,339.540283,314.125458,-2.534038,350.555878,251.576874,-3.671169,357.325897,213.785965,-3.575847,364.350616,187.942429,-3.418757,305.502502,328.329803,-6.744064,305.994354,282.058441,-7.912348,307.674286,254.720032,-8.266953,311.460449,230.883896,-8.418884,1
18,'2023/10/15 21:08:42:681',1,313.476715,419.820007,-0.000843,353.866852,399.066498,1.389346,379.601013,357.096222,4.151182,395.585846,324.891388,5.684328,410.428894,309.609161,7.657841,339.763733,282.080078,14.01757,342.948669,234.167938,18.972668,344.29538,207.68222,21.569942,344.866058,189.84877,23.167217,302.39621,276.498688,12.835374,296.553833,223.88063,17.187706,298.920258,192.823715,18.848169,304.131256,174.620316,20.695219,269.837158,285.749207,10.443971,257.872223,239.096741,13.219657,260.645111,209.789902,14.626953,268.318451,191.05835,16.454523,239.976471,309.881104,7.506464,225.641464,274.935913,9.030997,224.707397,252.817368,9.617038,228.879837,234.578049,10.823923,1
19,'2023/10/15 21:08:42:817',1,302.338562,428.738892,-0.001015,339.927216,404.568939,3.19153,364.988647,362.38974,5.026037,387.003876,327.878754,5.045608,411.556946,309.594238,5.05602,324.173615,295.635254,9.7437,328.757965,247.152069,11.097649,329.037415,212.872833,10.658432,327.775726,183.056259,9.503252,291.485718,292.393555,5.694687,286.896729,236.90773,6.281189,282.45166,196.452469,5.156152,279.501129,165.773254,4.054111,262.496735,303.794617,0.706467,251.275787,253.355438,0.352505,245.008728,215.264771,-0.215303,243.318878,186.039474,-0.930742,235.320602,328.999603,-4.443388,220.409668,293.983917,-5.752673,211.969147,269.441589,-6.866507,206.713196,245.003326,-7.969055,1
20,'2023/10/15 21:08:42:926',1,339.184845,435.683624,-0.000517,390.035126,419.193665,-1.722634,428.822876,376.345612,-4.079038,446.909729,339.817444,-5.484182,449.686798,318.025177,-5.792785,390.517548,292.031036,-7.238038,401.894226,218.148697,-4.800932,394.806946,196.502731,1.378756,386.367859,191.397461,5.586495,347.30896,282.159576,-6.234344,352.845703,201.356628,-6.495545,348.690125,182.645966,-0.568216,346.381409,182.272125,3.912957,310.124817,290.462921,-5.10081,308.690887,217.455307,-5.485509,306.587006,199.627304,-0.647248,308.908691,198.364197,3.249348,276.157806,313.838623,-4.020648,268.759949,259.915924,-4.412751,270.488586,243.390411,-2.316653,278.232544,239.106995,0.085585,1
21,'2023/10/15 21:08:43:709',1,314.369751,428.738953,-0.000788,362.016266,413.313171,-0.377205,398.121216,368.435852,1.622234,419.892029,330.915436,2.236255,436.266602,314.456604,3.600377,361.925079,296.842285,12.443851,375.242615,250.539459,15.072598,383.773102,218.849289,15.162106,389.337372,192.527237,14.685642,326.318878,287.346283,9.963593,326.745117,233.428268,12.693744,330.783264,195.675735,11.964039,335.162506,168.605057,11.706849,293.330139,293.032104,5.787795,284.938507,244.159409,6.781844,285.331726,209.246368,5.99342,290.199585,183.214233,5.864801,260.784027,313.81842,0.846176,246.741501,277.308167,0.503924,243.510086,252.548325,-0.69318,244.27533,229.218338,-1.238697,1
22,'2023/10/15 21:08:43:776',1,323.738403,431.314941,-0.001138,363.580139,407.517059,5.108791,392.644806,363.220398,7.79007,413.669312,329.559845,8.685143,433.890259,319.363312,9.703388,356.220367,294.497437,9.0518,365.191589,241.969513,10.84646,370.993591,207.250534,10.700401,375.145416,177.348404,9.628847,321.926147,287.64212,5.183158,320.491821,225.952118,5.646626,321.435791,184.788315,5.153323,323.898346,154.61557,4.707911,290.661835,296.592865,0.867618,281.816925,239.648712,0.677345,279.384094,202.837585,1.284986,282.312653,175.821869,1.675754,260.281067,320.84848,-3.320693,246.552338,281.881836,-4.177759,240.365372,258.394653,-4.752909,238.097687,236.342117,-5.335899,1
23,'2023/10/15 21:08:43:826',1,317.209351,419.122131,-0.001414,361.220215,403.98288,-5.431406,397.278229,363.326416,-6.578347,418.903931,327.632263,-8.17148,434.882629,312.996094,-9.155408,366.551727,287.786682,4.366953,384.286072,242.056519,5.326978,392.504456,208.664948,3.961638,398.21167,179.051025,2.248027,333.282043,275.947632,3.710231,339.836761,222.158997,4.868,343.935394,182.232727,2.951293,347.575317,152.146042,1.68101,302.959381,279.708923,1.238507,299.188019,230.536438,0.835555,298.979462,194.610123,-0.855757,302.376129,166.791428,-1.721816,273.121979,298.628479,-2.303216,259.986908,264.413483,-4.150669,254.038956,240.126083,-6.133612,251.646744,215.985077,-7.240691,1
24,'2023/10/15 21:08:43:878',1,313.472839,418.903046,-0.001446,357.915741,403.450623,-7.748181,395.410431,362.887085,-10.221454,420.509491,327.560822,-12.959831,437.914368,309.727112,-15.150256,367.790924,286.268951,2.126811,385.779022,240.143753,2.71057,394.028625,206.842545,1.278542,399.252686,177.333435,-0.516784,334.697021,276.060242,1.938507,342.463654,222.478043,2.776108,346.602753,182.737488,0.645868,350.062958,151.884384,-0.735424,304.009491,280.658936,-0.268886,301.789001,232.123398,-0.933935,301.689575,195.759628,-2.890397,304.399597,167.175568,-3.940599,273.899567,299.411804,-3.770885,261.012421,266.544159,-5.897496,253.325577,242.28447,-7.876121,248.729294,217.754883,-8.891957,1
25,'2023/10/15 21:08:43:943',1,320.839905,422.765594,-0.001312,363.468536,406.512115,-5.47222,400.122345,363.420471,-6.722818,423.864044,327.295837,-8.514344,443.440674,313.120758,-9.609138,367.853271,288.387482,3.788064,384.763763,241.690918,4.4005,392.422607,208.386444,2.753597,397.807159,178.614014,0.700923,334.982483,278.493866,2.616422,342.965057,224.101135,3.03277,348.131042,184.497162,0.499431,353.187958,154.676025,-1.240742,304.949768,284.150543,-0.381986,302.827942,234.572083,-1.472217,303.955505,198.431473,-3.424221,308.80426,170.297684,-4.477197,275.42099,305.232788,-4.480392,262.327606,271.072723,-6.879133,256.155792,246.774643,-9.023489,254.13652,222.345505,-10.252598,1
26,'2023/10/15 21:08:44:062',1,316.418579,421.738464,-0.00125,362.900116,406.805756,-7.140974,401.009644,366.194763,-9.302594,425.129059,330.973236,-11.643533,442.873047,313.657379,-13.348111,372.067749,287.822083,1.60212,393.645325,240.658875,2.078964,404.852936,207.483826,0.686848,412.941101,178.734116,-0.964526,337.956726,276.542786,1.605715,348.039276,221.831696,2.515143,355.091858,183.114136,0.492507,361.099091,153.978592,-0.846407,306.804657,280.375275,-0.178617,305.473541,231.280884,-0.908082,308.359375,195.802139,-2.902921,313.825043,168.31218,-3.864596,276.977356,298.747192,-3.137083,264.585785,264.375427,-5.229891,259.608704,239.807236,-7.257805,257.985901,215.69873,-8.260453,1
27,'2023/10/15 21:08:44:148',1,319.377686,422.090576,-0.001159,364.995911,408.96933,-7.367812,404.840637,368.337463,-9.551285,432.668732,332.457733,-11.866518,453.273712,314.296051,-13.547055,378.309998,289.442902,1.226344,401.449127,242.235901,1.832332,414.420044,209.684631,0.763833,423.7388,181.109589,-0.609512,345.415039,277.461639,1.41033,356.264862,222.582626,2.492345,364.446259,184.586777,0.904309,371.07608,155.500046,-0.124138,314.66391,280.923096,-0.186148,313.97583,231.881119,-0.733045,317.318634,196.559433,-2.50167,322.798004,168.977371,-3.368527,284.702728,298.961761,-2.943856,272.484894,264.717804,-4.93581,267.652008,240.313202,-6.813407,265.769257,216.137589,-7.725275,1
28,'2023/10/15 21:08:44:198',1,326.378448,419.951965,-0.001073,371.05484,406.288971,-6.364445,410.077881,367.692505,-8.624372,441.973358,335.741638,-11.431098,471.524719,318.090302,-14.110378,384.150848,290.264465,0.876211,405.469147,242.931458,0.93048,418.524811,209.952652,-0.377046,427.962433,180.100845,-2.015176,353.23764,278.27713,-0.009975,364.814331,223.445175,0.606697,373.524017,185.08757,-1.078801,379.850586,154.562164,-2.173601,322.813507,281.315948,-2.5415,321.09906,232.489029,-3.759071,322.774353,195.445526,-5.894771,326.056335,165.525009,-7.14197,292.666168,298.143921,-6.165561,283.02002,262.122406,-8.656683,279.843475,236.129532,-10.590414,278.421814,210.05188,-11.490894,1
29,'2023/10/15 21:08:44:268',1,337.54657,419.188995,-0.001148,384.53775,400.780029,-3.042023,424.130768,361.349121,-3.792611,459.03595,329.369354,-5.670757,495.203979,310.447632,-7.386568,394.860626,285.121887,5.018123,414.392487,237.186707,5.771196,424.78894,203.513321,4.840817,432.736053,174.281052,3.251054,363.304962,275.085571,2.567934,373.816101,219.229843,3.224785,381.097534,179.880341,1.299661,387.546631,149.342529,-0.350473,332.610596,278.708679,-1.390037,333.87616,228.002319,-1.770876,338.287384,191.370285,-2.994823,344.384583,162.744064,-3.989702,301.735046,294.530823,-6.275701,292.338348,256.773529,-8.025696,289.645782,230.558212,-9.361637,289.746063,205.450363,-10.172338,1
30,'2023/10/15 21:08:44:320',1,339.158142,416.7966,-0.001041,393.557526,405.188263,-3.813538,438.080383,369.165039,-4.790131,473.113312,337.980347,-6.687828,503.959045,318.629578,-8.279367,408.850708,284.731323,4.800452,431.523224,236.88002,5.710771,445.431915,203.521393,4.77963,455.883362,174.850143,3.233202,375.065399,272.339722,2.660396,387.773102,215.878204,3.381638,398.561188,176.980499,1.347839,406.914795,147.431671,-0.25572,342.153198,274.855835,-1.100117,344.525208,222.757401,-1.853451,351.331604,186.787323,-3.668759,358.733643,160.002594,-4.814719,309.185181,290.290558,-5.833649,300.436462,251.702866,-8.04016,299.819916,225.290482,-9.70751,301.670807,200.637115,-10.561271,1
31,'2023/10/15 21:08:44:439',1,337.740265,415.754578,-0.001225,394.092285,404.009674,-5.51741,440.065857,367.159698,-6.576786,475.171631,336.244293,-8.35828,506.445831,315.465485,-9.839794,413.786255,286.54364,5.580348,437.458557,238.55484,7.559538,450.95459,205.247971,7.60126,459.989441,176.238022,6.68654,380.560516,273.492676,4.589819,395.607178,217.089874,7.134606,405.960632,177.330276,6.395685,412.912659,146.492691,5.713291,347.541992,273.835876,1.682353,352.962158,222.464706,2.820788,359.555267,184.809631,2.145004,365.119263,156.291702,1.638314,313.731964,285.961914,-2.497415,307.672455,247.375626,-3.068402,306.631897,220.44017,-3.734742,306.34082,195.215164,-3.954869,1
32,'2023/10/15 21:08:44:539',1,342.706177,415.029602,-0.00135,397.315979,406.320007,-5.111763,445.754578,367.367371,-6.352413,482.636749,330.336517,-8.197615,513.069702,307.878113,-9.764214,418.716461,288.165985,3.847336,443.058136,240.462143,5.235076,457.950104,208.257095,4.680333,469.120087,180.223648,3.595024,385.958557,271.399658,2.951022,403.114075,215.326263,4.522822,416.405792,177.21167,3.589031,425.794922,148.66185,3.166386,353.348602,270.417694,0.356654,357.778412,219.075729,0.047323,365.124908,182.181503,-1.461928,372.80304,154.450684,-2.185502,320.209106,283.968506,-3.248679,314.681,246.127838,-4.89994,314.62912,219.991394,-6.466233,316.106415,194.744049,-7.062068,1
33,'2023/10/15 21:08:44:588',1,341.719391,408.177643,-0.000809,399.866913,395.490601,2.709304,447.681396,359.467285,4.794512,482.990448,325.19632,6.374449,510.580231,305.797089,8.508925,423.361176,279.444611,5.97248,448.093109,228.570999,9.525461,463.910004,198.190094,11.503944,476.854065,173.277985,12.354689,390.4664,262.166687,5.167936,407.529266,201.656998,7.445222,418.897003,165.089249,9.571495,426.509094,139.762741,11.542284,358.030426,260.86795,4.153008,362.921539,204.372025,6.401207,368.892883,167.705719,8.794304,375.763824,142.103485,10.801565,325.796906,274.23996,3.124383,318.464722,232.01712,4.630155,316.289642,205.780167,5.708197,316.44809,183.01088,6.877576,1
34,'2023/10/15 21:08:44:707',1,363.434082,405.789001,-0.001048,414.530151,389.993591,-1.34321,458.669281,348.577484,-1.926337,493.46817,311.71228,-3.478622,522.977417,292.932922,-5.039208,428.721283,268.415863,3.108197,449.417084,215.663712,3.533629,462.232361,181.668488,2.299803,472.330017,153.155853,0.470477,394.72168,257.605042,0.445286,406.415344,196.664337,-0.127026,416.242279,156.976532,-2.273921,424.114777,128.47049,-3.866007,361.604675,262.93576,-3.272528,361.562866,208.02124,-4.971253,365.487152,172.525497,-6.800841,371.910309,146.912857,-8.145823,328.512878,282.892426,-7.43324,317.351471,245.07338,-10.002205,312.982758,220.936691,-11.989541,312.386993,197.756042,-13.324757,1
