@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute landmarks-1 numeric
@attribute landmarks-2 numeric
@attribute landmarks-3 numeric
@attribute landmarks-4 numeric
@attribute landmarks-5 numeric
@attribute landmarks-6 numeric
@attribute landmarks-7 numeric
@attribute landmarks-8 numeric
@attribute landmarks-9 numeric
@attribute landmarks-10 numeric
@attribute landmarks-11 numeric
@attribute landmarks-12 numeric
@attribute landmarks-13 numeric
@attribute landmarks-14 numeric
@attribute landmarks-15 numeric
@attribute landmarks-16 numeric
@attribute landmarks-17 numeric
@attribute landmarks-18 numeric
@attribute landmarks-19 numeric
@attribute landmarks-20 numeric
@attribute landmarks-21 numeric
@attribute landmarks-22 numeric
@attribute landmarks-23 numeric
@attribute landmarks-24 numeric
@attribute landmarks-25 numeric
@attribute landmarks-26 numeric
@attribute landmarks-27 numeric
@attribute landmarks-28 numeric
@attribute landmarks-29 numeric
@attribute landmarks-30 numeric
@attribute landmarks-31 numeric
@attribute landmarks-32 numeric
@attribute landmarks-33 numeric
@attribute landmarks-34 numeric
@attribute landmarks-35 numeric
@attribute landmarks-36 numeric
@attribute landmarks-37 numeric
@attribute landmarks-38 numeric
@attribute landmarks-39 numeric
@attribute landmarks-40 numeric
@attribute landmarks-41 numeric
@attribute landmarks-42 numeric
@attribute landmarks-43 numeric
@attribute landmarks-44 numeric
@attribute landmarks-45 numeric
@attribute landmarks-46 numeric
@attribute landmarks-47 numeric
@attribute landmarks-48 numeric
@attribute landmarks-49 numeric
@attribute landmarks-50 numeric
@attribute landmarks-51 numeric
@attribute landmarks-52 numeric
@attribute landmarks-53 numeric
@attribute landmarks-54 numeric
@attribute landmarks-55 numeric
@attribute landmarks-56 numeric
@attribute landmarks-57 numeric
@attribute landmarks-58 numeric
@attribute landmarks-59 numeric
@attribute landmarks-60 numeric
@attribute landmarks-61 numeric
@attribute landmarks-62 numeric
@attribute landmarks-63 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
11,'2023/10/21 14:52:04:723',2,379.513641,460.50592,-0.001341,430.764313,451.292236,-6.656253,471.417084,424.184814,-8.156308,501.50705,396.876007,-9.836362,524.880859,378.439423,-11.049356,441.680756,363.155945,4.633296,459.528656,321.912109,5.84765,468.908295,293.66153,5.146502,475.573853,270.646576,4.111464,411.746979,353.937988,5.242538,424.038879,307.216797,7.741118,430.286011,274.484406,6.247545,434.895508,249.776016,4.931105,383.4216,354.960205,3.981458,387.986877,312.483856,5.711679,390.410889,283.550659,5.093619,393.130707,262.024323,4.508072,355.306061,364.721558,1.464213,346.999023,332.791656,1.654991,341.397156,312.161102,1.237651,338.450073,292.600739,1.290466,2
12,'2023/10/21 14:52:05:344',2,374.842194,459.642273,-0.001503,426.602264,449.6745,-7.110025,466.998932,423.083008,-8.519517,497.571625,396.248199,-9.960922,523.292175,378.100555,-10.973421,437.152557,364.645752,4.480515,455.547241,324.175293,5.981094,465.033142,296.360199,5.465255,471.455688,273.810577,4.569297,407.937225,355.774384,5.575479,420.887054,309.678375,8.343602,427.192871,277.016174,6.906587,431.285828,252.234894,5.619091,380.442719,356.719513,4.799668,385.740417,315.212311,6.675741,388.002594,286.056152,5.946885,389.882446,263.927246,5.295791,353.377075,365.893738,2.760504,346.330597,334.665894,3.06051,341.216949,314.228394,2.665864,338.008118,294.473907,2.761543,2
13,'2023/10/21 14:52:05:346',2,373.426941,461.538696,-0.001628,424.593781,451.545319,-6.643895,465.017578,424.866699,-7.817394,495.041901,397.120056,-9.101371,518.605713,377.930664,-9.850178,434.230042,368.108795,5.477674,451.831482,327.603821,7.431402,460.768951,299.032227,6.992799,466.611664,276.084015,6.065806,405.417786,359.50589,6.513976,417.155701,313.229004,9.460526,423.041931,279.893951,8.066606,426.800507,254.849777,6.840052,378.500641,360.665833,5.693913,383.202759,319.091583,7.655331,385.25827,290.512817,6.990639,387.177124,269.29657,6.53935,352.261475,369.829468,3.652423,345.608124,339.162689,4.067041,341.060059,319.766846,3.839118,338.62085,301.215179,4.242356,2
14,'2023/10/21 14:52:05:947',2,374.869568,461.565765,-0.001556,427.675049,450.617218,-6.104125,467.162262,423.556702,-6.942766,496.664886,395.211975,-8.059153,520.72937,373.959717,-8.57337,433.256226,365.626099,6.892908,449.00705,324.537476,9.230601,457.591583,296.058807,9.138997,463.086975,273.341888,8.534975,404.745331,357.457306,7.730893,416.242889,311.90097,11.186891,422.779358,279.260712,10.203179,426.705017,255.175125,9.430794,378.047607,358.573853,6.663656,383.201874,317.15271,8.877385,386.529236,289.20047,8.47176,388.923828,269.056946,8.401213,351.983215,367.147522,4.386141,345.347565,335.886658,4.996941,341.347076,316.335052,5.02351,339.156525,298.014252,5.710252,2
15,'2023/10/21 14:52:05:948',2,385.349915,464.098145,-0.001434,439.458557,449.635529,-1.322681,478.471466,419.553467,1.018684,506.626709,390.506805,3.065559,529.695984,370.709503,6.063464,440.924835,357.917877,12.647663,455.88562,315.339111,18.117914,463.089478,288.883331,20.835915,467.305756,269.241119,22.457016,409.72229,350.857147,14.013308,420.885345,303.457245,20.946991,426.292084,273.392883,23.35227,429.163605,251.632477,25.053652,380.871857,353.746704,14.04148,384.584869,310.900604,20.227049,387.14447,283.477448,23.633509,389.167511,263.677368,25.990637,353.303192,364.637756,13.238298,345.175262,331.796173,17.522917,340.799744,312.060028,20.215015,338.421173,294.092346,22.726059,2
16,'2023/10/21 14:52:06:561',2,377.143585,460.965149,-0.001556,429.242188,449.079498,-4.320443,467.952271,419.422821,-4.496217,496.583252,389.490143,-4.915865,521.381348,369.015198,-4.799674,434.196808,361.55838,6.646709,448.725006,318.569611,8.952407,455.82605,290.029968,9.148869,460.358246,267.270142,8.862869,404.675812,353.936249,7.321442,416.683167,307.01828,10.660048,422.152405,274.243164,10.315935,425.194763,250.053513,10.007167,376.961731,355.965424,6.446979,382.680145,313.750153,9.371239,385.359192,284.148956,10.048214,387.289581,262.36792,10.402679,349.727142,366.117126,4.539147,343.278137,333.794312,6.109602,338.177246,312.556427,6.638006,334.958893,292.598969,7.276217,2
17,'2023/10/21 14:52:06:563',2,368.541138,455.909821,-0.00139,419.512299,443.53067,-2.857378,456.537292,415.078613,-3.832836,484.791199,385.821991,-4.559244,509.893524,366.468323,-4.477683,424.859436,359.276428,0.559749,436.995972,316.792908,1.032706,444.402832,288.390991,0.709416,450.00766,266.226349,0.188363,395.307098,353.082123,1.071184,404.204529,306.985687,1.918316,409.135223,275.822021,1.477873,412.958313,253.670731,0.871007,367.610565,357.069855,0.822792,369.983307,316.011353,1.745023,371.634521,287.194763,2.228393,374.110565,266.355438,2.285961,341.120758,369.504272,0.035185,331.694458,338.003296,0.270908,324.410797,317.202789,0.115459,320.072723,298.225769,-0.011319,2
18,'2023/10/21 14:52:06:876',2,358.97464,461.810272,-0.001521,410.24353,450.661957,-5.142856,448.860504,422.892517,-6.957343,475.236877,392.527222,-8.19128,495.571625,371.787628,-8.568285,417.411163,366.925629,-0.65606,429.938171,322.240173,-0.186569,437.706268,292.151062,-0.806045,444.161804,268.596313,-1.462606,387.09494,359.95517,1.240394,395.246399,313.908386,1.779129,399.841705,283.558868,0.752729,404.691254,261.473663,0.05863,359.602539,362.467529,2.309478,362.203888,321.387634,3.018809,364.752197,293.992188,2.454482,368.988647,273.949341,2.25458,334.149384,372.365326,2.690118,325.251068,340.443878,2.845705,319.413666,319.900513,2.2711,317.745422,301.469177,2.276067,2
19,'2023/10/21 14:52:07:463',2,359.436615,458.456268,-0.001584,408.444946,448.728516,-6.868648,447.57135,421.957886,-9.745752,475.18576,393.368835,-12.143468,496.35675,375.125488,-13.956595,417.748688,367.511261,-2.059448,431.515503,325.023865,-2.661833,439.832977,294.847626,-4.33512,446.620819,270.414185,-5.804283,388.012878,360.182739,-0.49158,396.681549,315.275269,-1.235577,401.160736,283.818848,-3.680017,406.07785,260.355682,-5.311457,360.76178,362.306335,-0.016312,363.625885,321.987946,-0.668198,365.759949,293.709503,-2.439881,369.977295,272.419647,-3.338487,334.968658,372.397186,-0.415317,325.983765,341.274017,-1.589416,319.459747,320.545349,-3.062966,317.385284,301.364227,-3.55266,2
20,'2023/10/21 14:52:07:465',2,363.570618,458.119659,-0.001349,414.445221,446.823944,-3.364039,452.506226,420.218567,-4.728595,479.433685,391.819611,-5.543634,499.101471,373.575531,-5.503157,421.111084,363.991211,-0.958269,434.056702,319.251678,-0.642528,441.201965,289.498322,-1.061869,447.052734,266.60498,-1.482058,390.642761,357.285187,0.472059,398.362122,308.823181,0.834049,402.049774,276.951141,0.126028,405.980469,254.181854,-0.459646,362.817841,360.417847,1.382109,364.418457,317.104675,2.053075,365.653534,288.021057,1.985192,369.060211,267.283295,2.003884,337.016785,371.423309,1.867096,327.802551,337.792725,2.112948,321.447296,316.664703,1.80319,319.367584,298.176819,1.892011,2
